address,capacity
ckt1qyqdmswal8qn2psmwc6u5508xh7zkq7wuvustsvyew,3366000
ckt1qyq2cvlfef5kt043vcsy6rrt7snae2emda9spqvj6s,3153296
ckt1qyqdmeuqrsrnm7e5vnrmruzmsp4m9wacf6vsmcwugu,1258481
ckt1qyqx6xgf8j4r6t0mwwdrdf3y4efm59jl8y8sel5vch,785042
ckt1qyqyktz4j9ksrf8qjfps59qj6t60stv7lesqhzt28z,378330
ckt1qyqwh2p2e8zsu5j059mmzgq8sx7prafwr3gs4xvgze,12268
ckt1qyq99qnkfjx0sem3fztfwk9ps0yumn0jqlwsqknwwy,10337
ckt1qyqtyw475hdft34h48u893lzcyn4qk66tcjqrvpyct,8820
ckt1qyq8zvglj69ucnn7msv8nrnhvl9nhxuanexsvg09h4,5216
ckt1qyqfmnsmzs7wrg40qkzx4dgmz0a0l4jmdamqteq7uu,3515
ckt1qyq8dejvdg8qy4sw9j3q9usha2ly0fjp7ftqv2d49e,3476
ckt1qyq9aa6xd4tyt9tvcz094v4j64ndpzk3dvmsxecvjs,2083
ckt1qyqtmlvld9tz84437agms28z253llcwq4hps3g6qvn,1814
ckt1qyqt6f5vqw7ky65qurz8tk9knt3r5jqmmpgqp22lly,1589
ckt1qyqxtr6kep8tjufteefrcflyawlppxz8dc0qvla3yh,1530
ckt1qyq2heetg9gq03rgw8tz54uhvnup86hunhaqeq6mc2,1487
ckt1qyq0tzkxqct2d7cs9jcat2mf0qn22p4hdxzqmh9spr,1469
ckt1qyqr6j22u5s848l744dh7gqzmd48zhrgldsqklwj9w,1266
ckt1qyqg6qc65f9s2hlsvlxxtdl6uw00w2ga4hfqztqx5d,844
ckt1qyqt3xk479dmlscp8p945pz4zepr0sq8ef6sansvcc,800
ckt1qyqgy36akqckfat9n028qn46cepq497g8stqwlsfl5,707
ckt1qyq9apupymkjy5xpqfsscng2qfceyt55cggsjt0jv6,610
ckt1qyq879ju7ln3mn9pp32jhj02lpyfq692d3tqeyzqkd,438
ckt1qyq8xlt3e8ga64w2ht7fn7sjq6x00mrxnvcs2u6m3u,362
ckt1qyq8dqua3ex8wc9rzf0e3lntsjgyvacpml7srqt0dj,205
