address,capacity
ckt1qyqdmeuqrsrnm7e5vnrmruzmsp4m9wacf6vsmcwugu,4387613
ckt1qyqfhv78ks8xyalzhntde0hjmjrusdyjxyxsw343xc,2352748
ckt1qyq2cvlfef5kt043vcsy6rrt7snae2emda9spqvj6s,2107007
ckt1qyqdmswal8qn2psmwc6u5508xh7zkq7wuvustsvyew,1855264
ckt1qyqx6xgf8j4r6t0mwwdrdf3y4efm59jl8y8sel5vch,627726
ckt1qyqq5jr0hrm0uc8hduqp6cmjmfqmayghyfvsukcysf,479670
ckt1qyq98fl86kcmqkdv3cf6u8pgf6f99j93q37sq8sr05,67988
ckt1qyqzasa9ldqf3v20fzr42hl93ktxe2evdf3spzteh5,62203
ckt1qyqfchkwy2jnncscne75ktysa9ww6dnlk8wqvjtqvc,50982
ckt1qyqxlzk7suxkdnl6dennf8dc904et3pqfers5fzanz,2972
ckt1qyqwmxws34634ced7l7x7vzgklx22mpmltaq8z0m5x,2128
ckt1qyqv96vz5ssymn3h77unkvg55cdjadeazm9qj2dqk9,1285
ckt1qyqqjre63vyx4v7plq8zycpcuz6n5wpw28mqgnp9dg,843
ckt1qyqqeqypyh3mjmwuwsh70sax9mtrnluhv0vscr9c73,779
ckt1qyq8p2wg2t97c8ja8dyhcl23a9gp4nug7qwqaqeuma,524
ckt1qyq2z0x0f6z0sew4vyq0xt8v8q5j9vcpcn8qeqgjjk,184
ckt1qyqf2qvt66hujvppykhgj0tvg9xxaqal2azqaanr54,74
